date,city,state,fullName,location
"Saturday, June 20, 2020[109]",Tulsa,OK,Oklahoma,BOK Center
"Tuesday, June 23, 2020[110]",Phoenix,AZ,Arizona,Dream City Church
"Monday, August 17, 2020[111]",Mankato,MN,Minnesota,Mankato Regional Airport
"Monday, August 17, 2020[112]",Oshkosh,WI,Wisconsin,Wittman Regional Airport
"Tuesday, August 18, 2020[113]",Yuma,AZ,Arizona,Yuma International Airport
"Thursday, August 20, 2020[114]",Old Forge,PA,Pennsylvania,Mariotti Building Products
"Friday, August 28, 2020[115]",Londonderry,NH,New Hampshire,Manchester-Boston Regional Airport
"Thursday, September 3, 2020[116]",Latrobe,PA,Pennsylvania,Arnold Palmer Regional Airport
"Tuesday, September 8, 2020[117]",Winston-Salem,NC,North Carolina,Smith Reynolds Airport
"Thursday, September 10, 2020[118]",Freeland,MI,Michigan,MBS International Airport
"Saturday, September 12, 2020[119]",Minden,NV,Nevada,Minden–Tahoe Airport
"Sunday, September 13, 2020[120]",Henderson,NV,Nevada,xtreme manufacturing
"Thursday, September 17, 2020[121]",Mosinee,WI,Wisconsin,Central Wisconsin Airport
"Friday, September 18, 2020[122]",Bemidji,MN,Minnesota,Bemidji Regional Airport
"Saturday, September 19, 2020[123]",Fayetteville,NC,North Carolina,Fayetteville Regional Airport
"Monday, September 21, 2020[124]",Vandalia,OH,Ohio,Dayton International Airport
"Monday, September 21, 2020[125]",Swanton,OH,Ohio,toledo express airport
"Tuesday, September 22, 2020[126]",Pittsburgh,PA,Pennsylvania,Pittsburgh International Airport
"Thursday, September 24, 2020[127]",Jacksonville,FL,Florida,Cecil Airport
"Friday, September 25, 2020[128]",Newport News,VA,Virginia,Newport News/Williamsburg International Airport
"Saturday, September 26, 2020[129]",Middletown,PA,Pennsylvania,Harrisburg International Airport
"Wednesday, September 30, 2020[130]",Duluth,MN,Minnesota,Duluth International Airport
"Monday, October 12, 2020[131]",Sanford,FL,Florida,Orlando Sanford International Airport
"Tuesday, October 13, 2020[132]",Johnstown,PA,Pennsylvania,John Murtha Johnstown-Cambria County Airport
"Wednesday, October 14, 2020[133]",Des Moines,IA,Iowa,Des Moines International Airport
"Thursday, October 15, 2020[134]",Greenville,NC,North Carolina,Pitt-Greenville Airport
